batch_date,alerts,avg_score,critical_alerts,high_or_above,avg_monthly_charges,month_to_month_rate,fiber_rate
2026-01-01,130,0.40646272343579387,26,52,66.72615384615385,0.5230769230769231,0.4230769230769231
2026-01-08,130,0.4153053423933183,27,58,66.65307692307692,0.5076923076923077,0.4846153846153846
2026-01-15,130,0.4100608158385075,24,49,65.25923076923077,0.5538461538461539,0.45384615384615384
2026-01-22,130,0.4417158748509413,27,58,67.45807692307692,0.6,0.46153846153846156
2026-01-29,130,0.4153944923816963,30,53,63.85230769230769,0.5615384615384615,0.4307692307692308
2026-02-05,130,0.3933143464323792,27,51,61.32038461538461,0.5384615384615384,0.4076923076923077
2026-02-12,130,0.41270214780496145,29,50,63.9126923076923,0.5,0.43846153846153846
2026-02-19,130,0.4088813241032593,25,49,65.23153846153846,0.5230769230769231,0.43846153846153846
2026-02-26,130,0.42326982591749024,19,47,73.80476923076924,0.6538461538461539,0.5615384615384615
2026-03-05,130,0.4447662743769692,24,54,66.77807692307692,0.7307692307692307,0.7
2026-03-12,130,0.42417842092077684,16,55,67.67784615384616,0.6846153846153846,0.6076923076923076
2026-03-19,120,0.4442247882839493,17,50,68.35449999999999,0.6916666666666667,0.6416666666666667
